date,pm25,pm10,co,so2,no2,o3
2024-08-03,14.88,41.8,180.0,0.7,8.64,31.2
2024-08-04,20.7,41.8,270.0,0.7,3.24,19.2
2024-08-05,16.35,42.9,180.0,0.7,6.48,32.4
2024-08-06,14.88,45.1,630.0,0.7,28.08,31.2
2024-08-07,21.1,55.0,450.0,0.7,20.52,48.0
2024-08-08,20.495,46.75,360.0,0.7,15.120000000000001,27.0
2024-08-09,19.89,38.5,270.0,0.7,9.72,6.0
2024-08-10,13.665000000000001,34.65,450.0,0.7,9.18,9.6
2024-08-11,7.44,30.8,630.0,0.7,8.64,13.2
2024-08-12,4.65,22.0,360.0,0.7,9.72,30.0
2024-08-13,7.75,27.5,450.0,0.7,7.56,31.2
2024-08-14,8.473333333333333,26.4,450.0,0.7,6.84,32.0
2024-08-15,9.196666666666667,25.3,450.0,0.7,6.12,32.8
2024-08-16,9.92,24.2,450.0,0.7,5.4,33.6
2024-08-17,13.33,31.9,450.0,0.7,4.32,27.6
2024-08-18,13.64,37.4,495.0,0.7,4.698,27.6
2024-08-19,13.95,42.9,540.0,0.7,5.0760000000000005,27.6
2024-08-20,15.95,50.6,765.0,0.7,5.454000000000001,31.2
2024-08-21,18.7,45.1,630.0,0.7,5.832000000000001,25.2
2024-08-22,13.33,42.9,720.0,0.7,6.210000000000001,30.0
2024-08-23,13.18,36.29,675.0,0.7,6.588,27.6
2024-08-24,13.18,39.04,630.0,0.7,6.966,32.4
2024-08-25,14.57,37.95,630.0,0.7,7.344,24.0
2024-08-26,14.73,36.29,675.0,0.7,7.722,34.2
2024-08-27,10.85,30.8,720.0,0.7,8.100000000000001,29.4
2024-08-28,13.02,36.29,720.0,0.7,8.478000000000002,30.0
2024-08-29,13.33,37.4,720.0,0.7,8.856,25.2
2024-08-30,9.61,30.8,720.0,0.7,9.234,26.4
2024-08-31,14.88,39.04,720.0,0.7,9.612,21.6
2024-09-01,7.13,22.0,720.0,0.7,9.99,25.2
2024-09-02,5.27,17.6,720.0,0.7,10.368,18.0
2024-09-03,9.46,25.85,720.0,0.7,10.746,19.2
2024-09-04,8.68,30.25,810.0,0.7,11.124,22.2
2024-09-05,16.7,40.7,990.0,0.7,11.502,33.6
2024-09-06,13.49,37.4,630.0,0.7,11.88,21.0
2024-09-07,9.61,36.29,360.0,0.7,11.88,12.0
2024-09-08,11.16,38.5,450.0,0.7,10.8,18.0
2024-09-09,9.61,34.1,360.0,0.7,10.8,15.6
2024-09-10,16.89,46.75,585.0,0.7,16.2,9.0
2024-09-11,19.1,51.15,585.0,0.7,16.2,7.8
2024-09-12,13.95,39.6,540.0,0.7,12.96,10.2
2024-09-13,11.16,39.6,585.0,0.7,11.88,13.2
2024-09-14,10.23,33.54,585.0,0.7,15.66,13.2
2024-09-15,8.06,28.05,585.0,0.7,10.8,16.2
2024-09-16,12.09,33.54,585.0,0.7,13.5,17.4
2024-09-17,7.6,29.7,630.0,0.7,15.12,20.4
2024-09-18,9.46,20.9,720.0,0.7,16.2,30.0
2024-09-19,8.36,29.7,900.0,0.7,15.66,27.0
2024-09-20,9.46,32.45,900.0,0.7,18.36,22.2
2024-09-21,9.3,31.9,765.0,0.7,12.42,12.0
2024-09-22,9.3,26.95,855.0,0.7,14.04,16.8
2024-09-23,10.85,45.65,900.0,0.7,14.58,12.6
2024-09-24,11.32,38.5,990.0,0.7,22.14,15.6
2024-09-25,8.99,33.54,810.0,0.7,12.96,19.8
2024-09-26,12.4,37.95,900.0,0.7,13.5,16.2
2024-09-27,12.25,37.95,810.0,0.7,11.88,22.2
2024-09-28,17.39,42.9,900.0,0.7,15.12,15.0
2024-09-29,23.5,55.0,855.0,0.7,11.88,19.8
2024-09-30,17.1,50.6,945.0,0.7,14.58,20.4
2024-10-01,15.55,42.9,900.0,0.7,13.5,19.2
2024-10-02,11.78,40.7,990.0,0.7,19.44,30.0
2024-10-03,15.04,50.6,945.0,0.7,17.28,34.8
2024-10-04,26.9,63.0,1170.0,0.7,23.22,35.4
2024-10-05,21.5,58.0,1125.0,0.7,20.52,33.6
2024-10-06,20.3,50.6,1125.0,0.7,19.98,38.4
2024-10-07,10.07,29.7,1215.0,0.7,16.73,18.0
2024-10-08,12.71,30.8,1125.0,0.7,16.73,24.0
2024-10-09,17.7,46.75,1260.0,0.7,19.98,25.2
2024-10-10,29.3,61.0,1170.0,0.7,17.82,38.4
2024-10-11,13.64,38.5,1530.0,0.7,29.16,15.6
2024-10-12,11.32,40.7,1395.0,0.7,23.76,23.4
2024-10-13,9.46,36.85,1215.0,0.7,15.12,15.6
2024-10-14,10.39,31.9,1350.0,0.7,15.12,17.4
2024-10-15,8.84,30.25,1260.0,0.7,11.88,15.6
